"state","gallup_2012_score","gallup_2013_score"
"alabama",6.42,6.41
"arizona",6.71,6.72
"arkansas",6.41,6.43
"california",6.74,6.76
"colorado",6.97,6.89
"connecticut",6.76,6.59
"delaware",6.66,6.65
"florida",6.58,6.62
"georgia",6.61,6.66
"idaho",6.71,6.63
"illinois",6.66,6.69
"indiana",6.51,6.49
"iowa",6.81,6.82
"kansas",6.76,6.69
"kentucky",6.27,6.3
"louisiana",6.47,6.49
"maine",6.73,6.77
"maryland",6.80,6.72
"massachusetts",6.81,6.8
"michigan",6.56,6.54
"minnesota",6.89,6.97
"mississippi",6.36,6.37
"missouri",6.55,6.45
"montana",6.85,6.93
"nebraska",6.85,6.97
"nevada",6.52,6.66
"new hampshire",6.84,6.82
"new jersey",6.61,6.69
"new mexico",6.67,6.57
"new york",6.62,6.55
"north carolina",6.57,6.58
"north dakota",6.74,7.04
"ohio",6.46,6.42
"oklahoma",6.52,6.47
"oregon",6.71,6.67
"pennsylvania",6.65,6.55
"rhode island",6.55,6.52
"south carolina",6.52,6.53
"south dakota",6.80,7.0
"tennessee",6.40,6.43
"texas",6.66,6.69
"utah",6.88,6.82
"vermont",6.86,6.91
"virginia",6.77,6.68
"washington",6.77,6.83
"west virginia",6.13,6.14
"wisconsin",6.73,6.77
"wyoming",6.79,6.56
