state,score
"maine",6.14
"nevada",6.12
"utah",6.11
"vermont",6.11
"colorado",6.10
"idaho",6.10
"new hampshire",6.09
"washington",6.08
"wyoming",6.08
"minnesota",6.07
"arizona",6.07
"california",6.07
"florida",6.06
"new york",6.06
"new mexico",6.05
"iowa",6.05
"oregon",6.05
"north dakota",6.04
"nebraska",6.04
"wisconsin",6.03
"kansas",6.03
"oklahoma",6.02
"massachusetts",6.02
"montana",6.01
"missouri",6.01
"kentucky",6.00
"new jersey",5.99
"west virginia",5.99
"illinois",5.99
"rhode island",5.99
"indiana",5.98
"texas",5.98
"south dakota",5.98
"virginia",5.97
"tennessee",5.97
"connecticut",5.97
"pennsylvania",5.97
"south carolina",5.96
"north carolina",5.96
"ohio",5.96
"arkansas",5.95
"michigan",5.94
"alabama",5.94
"georgia",5.94
"delaware",5.92
"maryland",5.90
"mississippi",5.89
"louisiana",5.88
