
"state","county","anew_score"
"alabama","autauga",7.74
"alabama","autauga",7.05
"alabama","autauga",6.411111111
"alabama","autauga",3.76
"alabama","autauga",4.725
"alabama","autauga",2.3
"alabama","autauga",8.05
"alabama","autauga",2.43
"alabama","autauga",5.715
"alabama","autauga",2.31
"alabama","autauga",6.87
"alabama","autauga",6.87
"alabama","autauga",5.31
"alabama","autauga",6.86
"alabama","autauga",2.95
"alabama","autauga",8.22
"alabama","autauga",2.08
"alabama","autauga",7.47
"alabama","autauga",7.47
"alabama","autauga",7.1
"alabama","autauga",7.47
"alabama","autauga",7.44
"alabama","autauga",7.735
"alabama","autauga",7.405
"alabama","autauga",7.47
"alabama","autauga",7.84
"alabama","autauga",7.26
"alabama","autauga",7.91
"alabama","autauga",7.1
"alabama","autauga",8.15
"alabama","autauga",7.36666666666667
"alabama","autauga",7.7
"alabama","autauga",5.815
"alabama","autauga",6.86
"alabama","autauga",3.29
"alabama","autauga",7.51
"alabama","autauga",2.12
"alabama","autauga",6.10333333333333
"alabama","autauga",5.78
"alabama","autauga",6.411111111
"alabama","autauga",4.02
"alabama","autauga",4.02
"alabama","autauga",6.33
"alabama","autauga",2.29
"alabama","autauga",2.24
"alabama","autauga",7.39
"alabama","autauga",5.55
"alabama","autauga",6.84
"alabama","autauga",7.33
"alabama","baldwin",7.47
"alabama","baldwin",2.24
"alabama","baldwin",7
"alabama","baldwin",3.05
"alabama","baldwin",4.31
"alabama","baldwin",7.6
"alabama","baldwin",8.37
"alabama","baldwin",7.6
"alabama","baldwin",8.22
"alabama","baldwin",6.73
"alabama","baldwin",4.95
"alabama","baldwin",2.24
"alabama","baldwin",8.38
"alabama","baldwin",8.055
"alabama","baldwin",2.95
"alabama","baldwin",4.69
"alabama","baldwin",7.61
"alabama","baldwin",2.12
"alabama","baldwin",2.645
"alabama","baldwin",7.535
"alabama","baldwin",5.265
"alabama","baldwin",7.72
"alabama","baldwin",6.45
"alabama","baldwin",7.535
"alabama","baldwin",8.26
"alabama","baldwin",5.57
"alabama","baldwin",7.51
"alabama","baldwin",7.145
"alabama","baldwin",6.88
"alabama","baldwin",8.72
"alabama","baldwin",6.04333333333333
"alabama","baldwin",7.02
"alabama","baldwin",7.6
"alabama","baldwin",7.01333333333333
"alabama","baldwin",7.41
"alabama","baldwin",5.3
"alabama","baldwin",8.72
"alabama","baldwin",8.01
"alabama","baldwin",8.37
"alabama","baldwin",7.47
"alabama","baldwin",8.21
"alabama","baldwin",6.55
"alabama","baldwin",7.6
"alabama","baldwin",7.81
"alabama","baldwin",8.22
"alabama","baldwin",7.32
"alabama","baldwin",8.02
"alabama","baldwin",7.72
"alabama","baldwin",7.6
"alabama","baldwin",8.38
"alabama","baldwin",7.37333333333333
"alabama","baldwin",6.411111111
"alabama","baldwin",7.47
"alabama","baldwin",8.05
"alabama","baldwin",7.47
"alabama","baldwin",7.6
"alabama","baldwin",7.6
"alabama","baldwin",7.6
"alabama","baldwin",7.6
"alabama","baldwin",8.17
"alabama","baldwin",8.38
"alabama","baldwin",8.72
"alabama","baldwin",6.345
"alabama","baldwin",7.685
"alabama","baldwin",8.05
"alabama","baldwin",7.6
"alabama","baldwin",7.64
"alabama","baldwin",8.38
"alabama","baldwin",8.32
"alabama","baldwin",5.815
"alabama","baldwin",6.411111111
"alabama","baldwin",8.02
"alabama","baldwin",7.59
"alabama","baldwin",7.545
"alabama","baldwin",2.12
"alabama","baldwin",8.37
"alabama","baldwin",2.12
"alabama","baldwin",7.73
"alabama","baldwin",6.59
"alabama","baldwin",6.59
"alabama","baldwin",7.195
"alabama","baldwin",8.37
"alabama","baldwin",6.5
"alabama","baldwin",7.76
"alabama","baldwin",8.72
"alabama","baldwin",8.72
"alabama","baldwin",5.27
"alabama","baldwin",4.93333333333333
"alabama","baldwin",6.73
"alabama","baldwin",5.11
"alabama","baldwin",7.47
"alabama","baldwin",6.02
"alabama","baldwin",1.61
"alabama","baldwin",5.39
"alabama","baldwin",5.16666666666667
"alabama","baldwin",4.09
"alabama","baldwin",6.53
"alabama","baldwin",7.43
"alabama","baldwin",8.72
"alabama","baldwin",7.985
"alabama","baldwin",7.52
"alabama","baldwin",8.15
"alabama","baldwin",8.72
"alabama","baldwin",6.08
"alabama","baldwin",6.90666666666667
"alabama","baldwin",8.72
"alabama","baldwin",8.72
"alabama","baldwin",6.67
"alabama","baldwin",6.45
"alabama","baldwin",7.05
"alabama","baldwin",7.53
"alabama","baldwin",8.37
"alabama","baldwin",5.56
"alabama","baldwin",7.73
"alabama","baldwin",5.29
"alabama","baldwin",7.6
"alabama","baldwin",7.47
"alabama","baldwin",5.914
"alabama","baldwin",8.72
"alabama","baldwin",5.31
"alabama","baldwin",6.411111111
"alabama","baldwin",6.55
"alabama","baldwin",7.47
"alabama","baldwin",5.711111111
"alabama","baldwin",8.21
"alabama","baldwin",8.21
"alabama","barbour",2.24
"alabama","barbour",7.47
"alabama","barbour",7.26
"alabama","barbour",6.32
"alabama","barbour",6.32
"alabama","barbour",2.12
"alabama","barbour",6.28
"alabama","bibb",3.93
"alabama","bibb",7.47
"alabama","blount",2.12
"alabama","blount",2.78
"alabama","blount",7.21
"alabama","blount",7.04333333333333
"alabama","blount",7.05
"alabama","blount",7.33
"alabama","blount",6.705
"alabama","blount",7.71
"alabama","blount",3.38
"alabama","blount",7.31
"alabama","blount",3.68
"alabama","blount",7.47
"alabama","butler",5.125
"alabama","calhoun",4.445
"alabama","calhoun",8.13
"alabama","calhoun",6.73
"alabama","calhoun",6.53
"alabama","calhoun",6.395
"alabama","calhoun",7.05
"alabama","calhoun",7.47
"alabama","calhoun",7.39
"alabama","calhoun",8.26
"alabama","calhoun",6.5
"alabama","calhoun",8.72
"alabama","calhoun",6.89
"alabama","calhoun",8.13
"alabama","calhoun",7.62
"alabama","calhoun",7.47
"alabama","calhoun",5.28
"alabama","calhoun",7.05
"alabama","calhoun",8.03
"alabama","calhoun",8.72
"alabama","calhoun",5.165
"alabama","calhoun",8.72
"alabama","calhoun",5.29
"alabama","calhoun",7.62
"alabama","calhoun",4.345
"alabama","calhoun",8.02
"alabama","calhoun",7.47
"alabama","calhoun",8.72
"alabama","calhoun",7.5
"alabama","calhoun",5.31
"alabama","calhoun",5.31
"alabama","calhoun",6.39
"alabama","calhoun",6.39
"alabama","calhoun",5.31
"alabama","calhoun",7.91
"alabama","calhoun",2.95
"alabama","calhoun",7.47
"alabama","calhoun",5.31
"alabama","chambers",5.11
"alabama","chambers",8.28
"alabama","chambers",2.12
"alabama","chambers",6.86
"alabama","chambers",8.38
"alabama","chambers",8.21
"alabama","chambers",4.33
"alabama","chambers",7.84
"alabama","chambers",7.84
"alabama","chambers",6.45
"alabama","chambers",7.47
"alabama","chambers",6.38
"alabama","chambers",7.36
"alabama","chambers",2.31
"alabama","chambers",5.15
"alabama","chambers",7.47
"alabama","chambers",5.455
"alabama","chambers",5.55
"alabama","chambers",7.27
"alabama","chambers",5.96
"alabama","chambers",8.05
"alabama","chambers",6.405
"alabama","chambers",7.59
"alabama","chambers",4.93
"alabama","chambers",7.73
"alabama","chambers",4.71
"alabama","chambers",2.12
"alabama","chambers",3.14
"alabama","chambers",6.785
"alabama","chambers",5.43
"alabama","chambers",5.55
"alabama","chambers",5.22
"alabama","chambers",7.51
"alabama","chambers",7.02
"alabama","chambers",6.73
"alabama","chambers",6.42333333333333
"alabama","chambers",7.15
"alabama","chambers",6.08333333333333
"alabama","chambers",6.32
"alabama","chambers",6.73
"alabama","chambers",2.95
"alabama","chambers",7.2
"alabama","chambers",7.815
"alabama","chambers",7.2
"alabama","chambers",6.47
"alabama","chambers",5.2
"alabama","chambers",6.03
"alabama","cherokee",6.411111111
"alabama","cherokee",5.31
"alabama","chilton",7.565
"alabama","chilton",8.72
"alabama","chilton",7.33
"alabama","choctaw",5.31
"alabama","choctaw",7.33
"alabama","choctaw",7.33
"alabama","choctaw",7.2
"alabama","choctaw",5.15
"alabama","choctaw",6.21
"alabama","choctaw",7.47
"alabama","choctaw",6.16
"alabama","choctaw",7.565
"alabama","clarke",2.24
"alabama","clarke",6.55
"alabama","clarke",8.02
"alabama","clarke",6.55
"alabama","clarke",7.47
"alabama","clarke",6.55
"alabama","clarke",5.55
"alabama","clarke",6.55
"alabama","coffee",8.72
"alabama","coffee",7.27
"alabama","coffee",8.72
"alabama","coffee",7.62
"alabama","coffee",8.545
"alabama","coffee",8.05142857142857
"alabama","colbert",5.84
"alabama","colbert",1.95
"alabama","colbert",6.29
"alabama","colbert",7.27
"alabama","colbert",5.31
"alabama","colbert",8.72
"alabama","colbert",7.77
"alabama","colbert",6.411111111
"alabama","colbert",6.87
"alabama","colbert",8.72
"alabama","colbert",7.3
"alabama","colbert",7.47
"alabama","colbert",5.55
"alabama","colbert",8.1
"alabama","colbert",5.31
"alabama","colbert",8.72
"alabama","colbert",7.47
"alabama","colbert",8.72
"alabama","colbert",7.33
"alabama","colbert",5.31
"alabama","colbert",7.33
"alabama","conecuh",7.47
"alabama","conecuh",4.05
"alabama","conecuh",6.411111111
"alabama","conecuh",7.6
"alabama","conecuh",6.644
"alabama","conecuh",6.87
"alabama","conecuh",6.87
"alabama","conecuh",7.6
"alabama","conecuh",2.25
"alabama","conecuh",7.73
"alabama","conecuh",7.17
"alabama","conecuh",7.51
"alabama","conecuh",6.87
"alabama","conecuh",3.81
"alabama","conecuh",7.05
"alabama","conecuh",3.47
"alabama","conecuh",5.63666666666667
"alabama","conecuh",8.37
"alabama","conecuh",5.31
"alabama","cullman",7.99333333333333
"alabama","cullman",8.26
"alabama","cullman",8.72
"alabama","cullman",6.55
"alabama","dale",1.61
"alabama","dale",6.87
"alabama","dale",6.411111111
"alabama","dale",7.05
"alabama","dale",2.95
"alabama","dale",4.61
"alabama","dale",6.38
"alabama","dale",8.72
"alabama","dale",5.55
"alabama","dale",5.15
"alabama","dallas",7.81
"alabama","dallas",7.73
"alabama","dallas",6.5
"alabama","dallas",2.12
"alabama","dallas",7.47
"alabama","dallas",2.28
"alabama","dallas",4.95
"alabama","dallas",7.47
"alabama","dallas",7.47
